,x,y,u
ABplp,4.0314859,39.86921045,40.36887336
ABplpa,-14.3469562,34.16789835,37.40696495
ABplpaa,-29.9673379,34.48197925,45.98504549
ABplpaaa,-85.6963416,31.58546025,91.47032689
ABplpaaaa,-89.9987834,32.43634685,95.76293771
ABplpaaaaa,-87.8475723,30.02592835,92.91930083
ABplpaaaap,-62.5396407,27.19934605,68.30944981
ABplpaaap,-57.9588687,30.02030915,65.41534197
ABplpaaapa,-60.4606931,24.36306665,65.31018998
ABplpaaapp,-39.1247851,23.92659765,46.03557317
ABplpaap,-48.4905423,32.12426285,58.38815398
ABplpaapa,-59.4527361,29.64551495,66.58560858
ABplpaapaa,-79.4947788,26.98572905,84.05482364
ABplpaapap,-55.5136671,23.85303785,60.57775857
ABplpaapp,-21.9143261,29.59490825,37.09111833
ABplpaappa,-32.4189746,23.28114035,40.14584825
ABplpaappp,-11.1047051,22.34364025,25.29329026
ABplpap,21.8111792,30.35090825,37.68470201
ABplpapa,-38.5193099,27.99085755,47.84967208
ABplpapaa,-43.6712853,32.79144525,54.74373603
ABplpapaaa,-37.5559966,32.29707015,49.64745286
ABplpapaap,-12.9056529,30.42734765,33.22833276
ABplpapap,-18.4282654,33.28256195,38.22791774
ABplpapapa,-4.4121779,29.88437225,30.36853989
ABplpapapp,23.1655798,33.29006785,40.67838994
ABplpapp,7.7092581,28.24551935,29.63139488
ABplpappa,0.0825973,35.69761825,35.8668798
ABplpappaa,-12.4027749,38.96437875,41.00675012
ABplpappp,35.5064121,36.85468785,51.29052403
ABplpapppa,36.7847907,40.97484705,55.14665981
ABplpapppp,68.8434051,44.34124005,81.94704729
ABplpp,47.1027271,39.23392345,61.52210106
ABplppa,27.6851091,41.13580775,49.85155004
ABplppaa,-15.9427453,32.88871205,36.8877053
ABplppaaa,-12.547147,30.76946965,33.4906406
ABplppaaaa,-22.6374703,31.20677295,38.76985411
ABplppaap,17.3696958,33.20752565,37.69907091
ABplppaapa,14.385846,28.59819895,32.22387173
ABplppaapp,41.1465383,30.47120045,51.33292293
ABplppap,22.398503,34.28570355,41.23985491
ABplppapa,29.3445893,32.63394965,44.08315285
ABplppapaa,9.8208034,27.98929765,29.93613009
ABplppapap,38.9826281,26.85230245,47.50295175
ABplppapp,64.1232539,33.20446555,72.32792117
ABplppappa,57.4356018,30.14978415,64.99201903
ABplppappp,84.1934884,31.76356875,90.0734675
ABplppp,73.8109099,35.31094015,81.9769393
ABplpppa,42.7405904,30.26257765,52.58137267
ABplpppaa,55.2496698,32.13100445,64.03809508
ABplpppaaa,63.0833821,31.70354315,70.70279827
ABplpppaap,91.2025531,33.37421935,97.19035228
ABplpppap,89.3333,33.22027545,95.39237208
ABplpppapa,110.8818455,39.23363485,117.6802899
ABplpppp,75.9738777,32.14583545,82.64209324
ABplppppa,59.2776253,35.46076675,69.18076542
ABplppppaa,50.9866309,36.08952465,62.56503632
ABplppppap,77.5597723,38.73284935,86.76738692
ABplppppp,86.7767636,38.59199115,95.0477561
ABplpppppa,90.4478962,45.01241575,101.0887138
ABplpppppp,114.6711761,45.99932035,123.6038206
ABpr,61.5336284,64.22889925,89.03311745
ABpra,50.397393,71.37057915,87.45946161
ABpraa,22.5730097,75.89197535,79.27462252
ABpraaa,-17.0007651,80.16653525,82.04659097
ABpraaaa,-49.7690861,78.31072665,92.86848644
ABpraaaaa,-98.66248,75.75955915,124.4626501
ABpraaaaaa,-111.9017004,80.34487105,137.8200188
ABpraaaaap,-96.6171627,83.64577245,127.8674199
ABpraaaap,-71.0018019,78.53693225,105.9554372
ABpraaaapa,-88.3186582,82.13319245,120.6774358
ABpraaaapp,-68.7798578,85.73815895,110.0014897
ABpraaap,-13.980418,81.05965845,82.36014492
ABpraaapa,-79.7446201,77.06176695,110.9818288
ABpraaapaa,-100.916544,76.07964355,126.4598052
ABpraaapap,-82.1452132,79.53341615,114.4308947
ABpraaapp,-41.5483837,77.67178935,88.18540076
ABpraaappa,-63.6172244,79.70856075,102.0788423
ABpraaappp,-37.4402263,81.84203685,90.1092525
ABpraap,31.4022335,73.89701415,80.38216899
ABpraapa,11.2721139,81.62004705,82.48558194
ABpraapaa,-44.4404007,80.45897145,92.02854994
ABpraapaaa,-108.394328,78.34092755,133.8358417
ABpraapaap,-77.6927248,81.02396115,112.3604724
ABpraapap,-7.9453097,80.34329525,80.8676155
ABpraapapa,-58.7268777,84.16050325,102.7418767
ABpraapapp,-34.2144272,83.78566825,90.63353513
ABpraapp,51.2266357,78.19221425,93.56234631
ABpraappa,10.5733941,81.47086875,82.26485324
ABpraappp,49.6666239,79.07998725,93.47740598
ABprap,87.5161167,74.63566665,115.0967134
ABprapa,62.3721901,78.13085645,100.0659404
ABprapaa,44.6289424,80.70780185,92.33717758
ABprapaaa,28.3668399,79.97060545,84.98469745
ABprapaaaa,12.0922173,79.14220805,80.1857814
ABprapaaap,35.6573415,76.97752365,84.95276441
ABprapaap,64.3439097,78.27073885,101.4308381
ABprapaapa,49.2625999,77.58589835,92.01547076
