,uuu,x,y
Eprpa,114183486,103.2515355,58.38888655
Eprpp,154354361.9,125.6777056,55.77329125
MS,1441795.072,-16.5328261,40.97601635
MSa,13474250.01,-53.3687938,38.80520455
MSaa,32281102.37,-83.0720558,38.58729045
MSaaa,51153589.18,-95.1187579,42.42256745
MSaaaa,103577203.1,-115.3735804,49.76806815
MSaaaaa,162609311.7,-137.1108008,52.47181685
MSaaaaaa,218249498.1,-153.9340549,54.14607505
MSaaaaap,147040542.9,-130.4378328,52.44934125
MSaaaap,85269480.91,-100.8283782,51.67007495
MSaaaapa,109426080.1,-111.361872,52.99671635
MSaaaapp,52451897.2,-77.677178,52.60320735
MSaaap,29231299.05,-65.4522342,46.60415585
MSaaapa,58610955.92,-85.2942842,50.64009795
MSaaapaa,77704128.76,-100.5762846,49.44831795
MSaaapap,38409460.09,-69.2854169,50.46640055
MSaaapp,19883616.74,-48.8803776,51.46810795
MSaap,5257347.874,-36.1104894,35.82408005
MSaapa,7833597.631,-40.6913511,38.80642035
MSaapaa,12946782.36,-45.2119609,44.90065165
MSaapaaa,18631114.39,-54.5977787,44.60355825
MSaapaap,5775012.914,-29.1861101,46.45423655
MSaapap,173669.1426,-5.2779357,44.54739355
MSaapapa,3527565.823,-23.311534,45.45605835
MSaapapp,124540.4843,4.4666219,44.57600545
MSaapp,743621.5101,12.4169198,39.18205045
MSaappa,946054.3751,12.1414083,45.19746205
MSaappp,6364663.433,33.7960711,42.11594695
MSaapppa,1901249.416,18.457741,42.14694135
MSaapppp,13499209.82,51.7124892,40.08517595
MSap,2401151.469,-27.2199487,32.11792945
MSapa,4229949.941,-36.9657969,31.39009315
MSapaa,20250752.63,-63.0531131,40.26605795
MSapaaa,61540715.56,-110.8831954,39.91541065
MSapaaaa,97598831.76,-134.8349749,41.33755775
MSapaap,26498558.14,-72.8109851,39.88772605
MSapaapp,19372615.09,-59.7974456,41.52757355
MSapap,1966538.001,-20.5851874,38.43451545
MSapapa,14601370.49,-57.6738603,37.38030605
MSapapaa,33301797.48,-87.3799222,37.26037725
MSapapp,3246592.903,-26.05993,39.00908255
MSapp,1695504.225,23.5789137,31.15664665
MSappa,137351.0346,5.3185586,39.31398635
MSappaa,3641045.421,-28.3203675,38.01361985
MSappap,65839.52999,3.8836598,37.27582335
MSappp,6048195.339,35.6830195,38.88448675
MSapppa,366455.9565,-10.1451816,33.66480715
MSapppp,2312565.876,23.2489821,36.90355265
MSp,1375568.184,14.074309,47.01528175
MSpa,4282062.406,-26.0656336,44.79022805
MSpaa,7124230.901,-30.3830698,49.56355005
MSpaaa,37804989.83,-60.7986888,57.05653755
MSpaaaa,140897818.2,-110.4785638,60.61766145
MSpaaaaa,227171352.8,-136.6030416,62.25030395
MSpaaaap,134458904.4,-106.8047093,61.25329355
MSpaaap,65619206.54,-73.1789607,62.45314505
MSpaaapa,105213833.6,-91.4793195,63.26136535
MSpaaapp,45815008.4,-62.5154325,61.08600295
MSpaap,3018087.941,-18.5753425,52.76600065
MSpaapa,43449872.68,-61.1691269,60.79768405
MSpaapaa,93535757.26,-86.2239332,63.28285545
MSpaapap,41533161.9,-56.8171022,63.99462245
MSpap,2631546.782,22.9710604,39.84277395
MSpapa,245560.4516,5.8264888,47.98410065
MSpapaa,2839734.597,-17.9559495,52.94873205
MSpapaaa,12259276.41,-36.7095189,53.81195735
MSpapaap,1129909.769,-10.7442484,55.81756735
MSpapap,2710110.572,17.6187713,52.71606085
MSpapapa,274319.6688,-5.4434931,54.28450235
MSpapapp,3460912.073,19.6248737,53.48271875
MSpapp,19603864.88,54.5588572,45.78578335
MSpappa,9808457.361,34.3756973,51.40127615
MSpappp,28193436.25,56.4013835,53.11403705
MSpp,13486417.53,42.3786137,48.89074085
MSppa,21884407.6,47.6550783,55.38386675
MSppaa,3011583.565,-15.6644471,62.50394835
MSppaaa,130899953.8,-93.4055798,69.10699195
MSppaaaa,195697883.8,-116.3795074,67.81747465
MSppaap,48659191.57,-57.4313593,68.52647825
MSppap,7261757.441,24.8148889,61.26798505
MSppapa,30445533.05,-43.3163787,71.86785995
MSppapaa,102865458.7,-76.7734267,74.53305485
MSppapp,4252557.557,-16.0451639,72.51135255
MSppp,46516570.19,83.6204119,46.01682005
MSpppa,15638467.91,39.325878,56.73404355
MSpppaa,5645373.43,-20.2003845,66.36082325
MSpppap,1879579.378,11.4249261,67.70207815
MSpppp,44820098.36,66.553878,56.75290545
MSppppa,26136.36937,-1.2321006,74.02893885
MSppppp,13812504.71,28.7676527,72.88813805
P1,100183112,103.2699474,54.68250065
P2,180323599.1,143.845797,52.66889055
P3,179567243.8,156.6450998,48.26383285
P4,59113577.92,111.9273977,38.75540505
