,v,x,y
ABalppaaap,-9339.743831,-140.2800359,33.28964015
ABalppaap,-7796.759038,-116.450516,33.47670455
ABalppaapp,-6055.840697,-108.4705332,27.91468115
ABalppap,-7454.903248,-103.3990819,36.04917525
ABalppapa,-6894.215908,-97.9444766,35.19451095
ABalppapaa,-6859.657512,-111.6704941,30.71383165
ABalppapap,-5429.979256,-87.3247287,31.09073075
ABalppapp,-4555.165604,-65.1206184,34.97483375
ABalppappa,-4332.127742,-75.0181892,28.87384905
ABalppappp,-2590.989177,-46.9635172,27.58512705
ABalppp,-3631.352847,-53.9579939,33.64981335
ABalpppa,-7366.531169,-89.3812277,41.20849175
ABalpppaa,-9022.273377,-117.3622262,38.43772255
ABalpppaaa,-7830.237446,-131.2774197,29.82324555
ABalpppaap,-6994.112705,-119.683037,29.21931495
ABalpppap,-6320.327946,-90.0973547,35.07499175
ABalpppapa,-5744.000492,-107.3227378,26.76040795
ABalpppapp,-4620.351545,-87.5120097,26.39838555
ABalpppp,-3767.692408,-48.4225932,38.90428165
ABalppppa,-6354.820268,-76.6924322,41.43055635
ABalppppaa,-7278.523317,-105.1511553,34.60981145
ABalppppap,-5648.665129,-84.4635056,33.43849565
ABalppppp,-3188.001675,-39.8321061,40.01799035
ABalpppppa,-4114.696062,-67.0897815,30.66559445
ABalpppppp,-2281.266184,-38.2901337,29.78921675
ABar,-9163.118552,-67.5987136,67.77583525
ABara,-6872.422249,-55.42652,61.99579415
ABaraa,-10703.47128,-90.0234986,59.44820765
ABaraaa,-14703.94382,-115.731855,63.52591435
ABaraaaa,-16151.97889,-134.4215644,60.07956745
ABaraaaaa,-17514.37674,-153.5874485,57.01760435
ABaraaaaaa,-16984.33022,-156.2432292,54.35221195
ABaraaaaap,-16646.77852,-137.3639895,60.59367735
ABaraaaap,-14756.41248,-128.8985549,57.24041085
ABaraaaapa,-16738.89102,-145.4596677,57.53791165
ABaraaap,-13089.78043,-99.03888,66.08404915
ABaraaapa,-15248.69457,-124.7870834,61.09884995
ABaraaapaa,-15798.71374,-139.5455205,56.60774235
ABaraaapap,-12730.76028,-112.1111188,56.77742055
ABaraaapp,-12498.43726,-96.7459434,64.59411535
ABaraaappa,-14820.19576,-118.2396335,62.67016955
ABaraaappp,-12410.4069,-95.2206289,65.16658755
ABaraap,-7959.556227,-72.606065,54.81330125
ABaraapa,-11452.02806,-102.0305333,56.12059295
ABaraapaa,-12541.05691,-124.8138855,50.23902935
ABaraapaaa,-13800.77621,-135.9786231,50.74612425
ABaraapaap,-11142.7369,-111.4300258,49.99880785
ABaraapap,-9307.793822,-92.7522904,50.17554705
ABaraapapa,-8812.98547,-93.309913,47.22427225
ABaraapapp,-6643.677132,-68.2686141,48.65835655
ABaraapp,-6062.178109,-55.946627,54.17822695
ABaraappa,-9222.594286,-83.872049,54.98014175
ABaraappaa,-14205.43836,-120.819172,58.78801405
ABaraappap,-10901.50579,-94.2894543,57.80872245
ABaraappp,-5331.419347,-48.7962026,54.62944925
ABaraapppa,-8348.182956,-71.7527257,58.17328105
ABaraapppp,-5279.693986,-44.6910013,59.06887105
ABarap,-4199.93616,-31.9488964,65.72897085
ABarapa,-8635.168851,-61.3710531,70.35213195
ABarapaa,-10659.19032,-77.3485659,68.90360665
ABarapaaa,-11848.235,-102.2177223,57.95587465
ABarapaaaa,-10640.84437,-96.5462081,55.10752095
ABarapaaap,-8392.642253,-76.227671,55.04984045
ABarapaap,-8874.355554,-75.8154626,58.52602655
ABarapaapa,-10306.81193,-91.4588809,56.34669825
ABarapaapp,-7500.45751,-67.089128,55.89920255
ABarapap,-4953.82782,-36.9998855,66.94382635
ABarapapa,-6574.541371,-53.9395045,60.94365745
ABarapapaa,-7077.950764,-62.0039687,57.07659455
ABarapapap,-3910.931822,-35.6836792,54.80000815
ABarapapp,-2780.84309,-23.5649237,59.00386365
ABarapappa,-5252.879213,-46.7769137,56.14820215
ABarapappp,-1809.178847,-16.2046575,55.82280425
ABarapp,-1160.581584,-9.3434343,62.10679855
ABarappa,-2555.974856,-18.5851951,68.76373485
ABarappaa,-7333.448237,-56.1416491,65.31201305
ABarappaaa,-7956.397247,-61.4475075,64.74141565
ABarappaap,-4486.731176,-35.1346038,63.85060155
ABarappap,-2960.579158,-22.5050194,65.77597435
ABarappapa,-4456.286939,-32.2141865,69.16652915
ABarappapp,-328.406723,-2.4403538,67.28670305
ABarappp,1740.065945,13.0175108,66.83558675
ABarapppa,-7258.992095,-51.872634,69.96938015
ABarapppaa,-12245.11196,-88.117003,69.48211775
ABarapppap,-8787.159281,-63.7856323,68.88039645
ABarapppp,-2843.025472,-19.9581955,71.22451205
ABarappppa,-7979.092238,-55.2425398,72.21873095
ABarappppp,-4405.130083,-29.3300544,75.09583895
ABarp,-3324.263581,-21.784486,76.29887575
ABarpa,-8592.566508,-55.9442415,76.79580845
ABarpaa,-12979.03129,-85.6103972,75.80289145
ABarpaaa,-14927.47504,-102.3295589,72.93823605
ABarpaaaa,-14530.33728,-122.0460487,59.52809385
ABarpaaaaa,-16590.75823,-136.9522012,60.57134565
ABarpaaaap,-12708.04532,-115.6246761,54.95386345
ABarpaaap,-11504.12067,-94.0439167,61.16355565
ABarpaaapa,-13074.79325,-106.4258348,61.42678265
ABarpaap,-9410.688453,-63.0852835,74.58703465
ABarpaapa,-8374.046282,-66.2620192,63.18888545
ABarpaapp,-2442.338734,-18.8955749,64.62726715
ABarpap,-5566.884072,-41.368409,67.28424185
ABarpapa,-8688.88156,-60.8846294,71.35529645
ABarpapaa,-13937.64275,-97.1043806,71.76629245
ABarpapaaa,-16966.42352,-118.4055587,71.64538435
ABarpapaap,-13409.69006,-91.401847,73.35568425
ABarpapap,-9305.065701,-64.157346,72.51753915
ABarpapp,-2216.94172,-15.6062896,71.02718765
ABarpappa,-6445.305753,-42.3118943,76.16423065
ABarpappp,-1617.900855,-10.7254698,75.42330945
ABarpapppp,555.7134468,3.2906219,84.43896985
ABarpp,3056.60946,19.9065054,76.77413485
ABarppa,-3934.836044,-25.4741015,77.23208695
ABarppaa,-4033.579096,-28.3812251,71.06069385
ABarppaaa,-910.3778845,-8.2723149,55.02558205
ABarppaaap,2366.856428,25.6135069,46.20328715
ABarppaap,2913.075902,27.7036411,52.57568655
ABarppaapp,6159.516724,72.5476909,42.45150085
ABarppap,1492.685449,11.5350335,64.70225895
ABarppapa,4962.776658,52.8465975,46.95455235
ABarppapaa,3195.875661,46.1610392,34.61659135
ABarppapap,5404.486661,81.9583528,32.97093265
ABarppapp,8947.496776,97.8467764,45.72198035
ABarppappa,8080.807984,109.7708342,36.80762765
ABarppappp,11119.37866,146.9593386,37.83148035
ABarppp,4174.995356,27.7179171,75.31221305
ABarpppa,3191.926584,22.0362947,72.42430335
ABarpppaa,1382.069217,9.7124345,71.14947425
ABarpppaap,4592.851734,28.9143255,79.42173395
ABarpppap,5969.455316,42.5539717,70.13981395
ABarpppapp,10833.32011,72.7699157,74.43543125
ABarpppp,9221.515089,67.2335013,68.57827505
ABarppppa,9900.571018,68.4310354,72.33977215
ABarppppaa,8182.813506,50.4950672,81.02587005
ABarppppap,13820.79284,85.0466648,81.25417305
ABarppppp,15263.49928,109.2999671,69.82389695
ABarpppppa,17094.25255,112.5803149,75.92025555
ABarpppppp,21237.99378,151.0471927,70.30251075
ABp,1173.512364,8.8412422,66.36580795
ABpl,132.0112911,1.1968107,55.15128295
ABpla,-7971.914683,-69.5476707,57.31259295
ABplaa,-11115.0119,-94.7666155,58.64413245
ABplaaa,-13787.63363,-111.05904,62.07344145
ABplaaaa,-14945.67815,-131.8883076,56.66036065
ABplaaaaa,-11707.29703,-121.4548103,48.19610275
ABplaaaaaa,-11521.50194,-123.2779117,46.72979035
ABplaaaaap,-8982.529214,-96.6031879,46.49188815
ABplaaaap,-9257.890182,-92.004235,50.31230455
ABplaaap,-10415.33414,-87.4382088,59.55825425
ABplaaapa,-6551.509775,-66.3981514,49.33503145
ABplaaapp,-3142.54549,-32.5262522,48.30783255
ABplaaappp,-30.50926721,-0.3898951,39.12496875
ABplaap,-7687.346094,-76.5615482,50.20370065
